2026-01-19 21:53:14,331 - INFO - Database schema created/verified at ingredients.db
2026-01-19 21:53:14,333 - INFO - Found 250 ingredients in CSV file
2026-01-19 21:53:14,334 - INFO - Processing 1/250: Apple
2026-01-19 21:53:14,334 - INFO - Searching for: Apple
2026-01-19 21:53:15,887 - INFO - Found: APPLE (FDC ID: 454004)
2026-01-19 21:53:17,012 - ERROR - Error processing CSV file: OperationalError - 44 values for 45 columns
2026-01-19 21:54:30,809 - WARNING - Row 134: Empty ingredient name, skipping
2026-01-19 21:54:30,809 - WARNING - Row 135: Empty ingredient name, skipping
2026-01-19 21:54:30,809 - WARNING - Row 136: Empty ingredient name, skipping
2026-01-19 21:54:30,809 - WARNING - Row 137: Empty ingredient name, skipping
2026-01-19 21:54:30,809 - WARNING - Row 138: Empty ingredient name, skipping
2026-01-19 21:54:30,809 - WARNING - Row 139: Empty ingredient name, skipping
2026-01-19 21:54:30,809 - WARNING - Row 140: Empty ingredient name, skipping
2026-01-19 21:54:30,809 - WARNING - Row 141: Empty ingredient name, skipping
2026-01-19 21:54:30,809 - WARNING - Row 142: Empty ingredient name, skipping
2026-01-19 21:54:30,809 - WARNING - Row 143: Empty ingredient name, skipping
2026-01-19 21:54:30,810 - WARNING - Row 144: Empty ingredient name, skipping
2026-01-19 21:54:30,810 - WARNING - Row 145: Empty ingredient name, skipping
2026-01-19 21:54:30,810 - WARNING - Row 146: Empty ingredient name, skipping
2026-01-19 21:54:30,810 - WARNING - Row 147: Empty ingredient name, skipping
2026-01-19 21:54:30,810 - WARNING - Row 148: Empty ingredient name, skipping
2026-01-19 21:54:30,810 - WARNING - Row 149: Empty ingredient name, skipping
2026-01-19 21:54:30,810 - WARNING - Row 150: Empty ingredient name, skipping
2026-01-19 21:54:30,810 - WARNING - Row 151: Empty ingredient name, skipping
2026-01-19 21:54:30,811 - WARNING - Row 152: Empty ingredient name, skipping
2026-01-19 21:54:30,811 - WARNING - Row 153: Empty ingredient name, skipping
2026-01-19 21:54:30,811 - WARNING - Row 154: Empty ingredient name, skipping
2026-01-19 21:54:30,811 - WARNING - Row 155: Empty ingredient name, skipping
2026-01-19 21:54:30,811 - WARNING - Row 156: Empty ingredient name, skipping
2026-01-19 21:54:30,811 - WARNING - Row 157: Empty ingredient name, skipping
2026-01-19 21:54:30,811 - WARNING - Row 158: Empty ingredient name, skipping
2026-01-19 21:54:30,811 - WARNING - Row 159: Empty ingredient name, skipping
2026-01-19 21:54:30,812 - WARNING - Row 160: Empty ingredient name, skipping
2026-01-19 21:54:30,812 - WARNING - Row 161: Empty ingredient name, skipping
2026-01-19 21:54:30,812 - WARNING - Row 162: Empty ingredient name, skipping
2026-01-19 21:54:30,812 - WARNING - Row 163: Empty ingredient name, skipping
2026-01-19 21:54:30,812 - WARNING - Row 164: Empty ingredient name, skipping
2026-01-19 21:54:30,812 - WARNING - Row 165: Empty ingredient name, skipping
2026-01-19 21:54:30,812 - WARNING - Row 166: Empty ingredient name, skipping
2026-01-19 21:54:30,812 - WARNING - Row 167: Empty ingredient name, skipping
2026-01-19 21:54:30,812 - WARNING - Row 168: Empty ingredient name, skipping
2026-01-19 21:54:30,812 - WARNING - Row 169: Empty ingredient name, skipping
